class,count,capital,ave_cap
脫水蔬果批發,82,305660000.0,3727560.975609756
脫水蔬果零售,58,58460000.0,1007931.0344827586
脫水蔬菜、脫水果實製造,45,326176600.0,7248368.888888889
膳食及菜餚罐頭製造,95,9362827314.0,98556076.98947369
臍帶血銀行,4,2074033300.0,518508325.0
自來水總管及市區管線營建,417,4341189250.0,10410525.7793765
自助儲物空間出租,41,1284556981.0,31330658.073170733
自助洗衣店,601,305106880.0,507665.3577371048
自動販賣機製造,4,156500000.0,39125000.0
自動門裝修工程,112,241821880.0,2159123.9285714286
自然及工程科學研究發展服務,154,12742086911.0,82740824.0974026
自由撰稿者,2,500000.0,250000.0
自行車修理,38,16015000.0,421447.36842105264
自行車及自行車零件批發,1072,6420267725.0,5989055.713619403
自行車及自行車零件零售,412,1040553888.0,2525616.2330097086
自行車租賃,31,58818000.0,1897354.8387096773
自行車製造,119,13522097958.0,113631075.27731092
自行車零件製造,769,19080627110.0,24812258.9206762
舞台燈光、音響設備出租,249,356552000.0,1431935.7429718876
舞台音響（燈光）設備批發,62,255687888.0,4123998.193548387
舞團,27,27180000.0,1006666.6666666666
舞蹈教學,36,24845000.0,690138.8888888889
航空器及其零件製造,52,9650463672.0,185585839.84615386
航空器維修,11,5105884520.0,464171320.0
航空燃油、燃料油批發,5,9400000.0,1880000.0
航空貨運承攬,554,7831294140.0,14135910.0
航空運輸,96,130814517713.0,1362651226.1770833
航空運輸輔助,31,2588481620.0,83499407.09677419
船上貨物裝卸,213,6650422284.0,31222639.830985915
船務代理,293,48049808570.0,163992520.71672356
船舶出租,107,2739774640.0,25605370.46728972
船舶建造（木殼）,23,472750000.0,20554347.826086957
船舶建造（玻璃纖維）,65,4511899060.0,69413831.6923077
船舶建造（鐵殼）,56,6340287000.0,113219410.71428572
船舶理貨,179,729920800.0,4077769.8324022344
船舶維修,325,2872245888.0,8837679.655384615
花卉材料、園藝器具零售,358,621170050.0,1735111.87150838
茶樹栽培,22,57190000.0,2599545.4545454546
茶葉批發,2019,8520770037.0,4220292.242199108
茶葉零售,695,953557764.0,1372025.5597122302
茶藝館,72,75490000.0,1048472.2222222222
茶類飲料製造,16,51960000.0,3247500.0
草蓆、藤蓆批發,13,70700000.0,5438461.538461538
草蓆、藤蓆零售,7,9200000.0,1314285.7142857143
菸草製品零售攤販,1,200000.0,200000.0
菸草製造,4,47756194000.0,11939048500.0
菸酒零售,1218,18401935206.0,15108321.187192118
蔬果汁飲料製造,30,1179364110.0,39312137.0
蔬果罐頭製造,45,6266212360.0,139249163.55555555
蔬菜批發,2988,7254351029.0,2427828.3229585006
蔬菜栽培,410,1515108300.0,3695386.0975609757
蔬菜零售,1921,2038158866.0,1060988.4778761063
薯類製粉、製片、製籤,11,1277000000.0,116090909.0909091
藝文作品展覽活動籌辦,391,898677564.0,2298408.0920716114
藝術作品修復,10,19000000.0,1900000.0
藝術表演活動籌辦、監製與經紀,1293,6397422934.0,4947736.221191029
藝術評論,17,100607000.0,5918058.823529412
藤製品製造,24,147546000.0,6147750.0
蛇紋石採取,1,200000.0,200000.0
蛋製品製造,11,89900000.0,8172727.2727272725
蛋類批發,203,3075380940.0,15149659.802955665
蛋類零售,131,219085800.0,1672410.6870229007
蜂蜜零售,72,140690000.0,1954027.7777777778
蜂飼育,21,28710000.0,1367142.857142857
螺絲、螺帽及鉚釘製造,2647,53243559882.0,20114680.726105023
蠶絲梭織布製造,97,2178060000.0,22454226.80412371
蠶絲紗（線）紡製,20,285441000.0,14272050.0
行動通信網路服務,50,541738000.0,10834760.0
行李箱、旅行袋（箱）、背包、公事包、化箱批發,90,372083500.0,4134261.111111111
行李箱、旅行袋（箱）、背包、公事包、化箱零售,274,890850385.0,3251278.777372263
行銷管理顧問服務,745,3860388938.0,5181730.118120805
衛星導航系統（ＧＰＳ）設備製造,4,1071400000.0,267850000.0
衛星通信網路服務,18,21039187700.0,1168843761.1111112
衛星電視頻道經營,67,31367313260.0,468168854.6268657
衛浴設備批發,881,6713494000.0,7620311.010215664
衛生用紙批發,100,6759520210.0,67595202.1
衛生用紙零售,36,138340000.0,3842777.777777778
衛生類用紙製造,39,3082471500.0,79037730.76923077
衣服修改,35,23135000.0,661000.0
表面活性劑製造,4,21400000.0,5350000.0
被動電子元件製造,239,35209745640.0,147321111.46443516
製冰機械批發,16,137077500.0,8567343.75
